Hi.	嗨。
There's no water.	沒有水。
They aren't dead.	他們沒死。
They were afraid.	他们害怕了。
They'll kill you.	他們要殺你。
They're children.	他们是孩子。
They're children.	她们是孩子。
This book is new.	这本书是新的。
This is Room 839.	这是839号房间。
This is a pencil.	這是一支鉛筆。
This is not safe.	这不安全。
This is the best.	这是最好的。
This is your dog.	这是你的狗。
This is your key.	這是您的鑰匙。
This isn't money.	这不是钱。
This one's yours.	這個是你的。
Tom bought a car.	湯姆買了輛車。
Tom can run fast.	Tom可以跑得很快。
Tom cannot drive.	湯姆不能開車。
Tom did it again.	汤姆又做了一次。
Tom glanced away.	汤姆瞥了一眼就移开目光了。
Tom has no money.	Tom沒有錢。
Tom hit a triple.	湯姆擊出三壘安打。
Tom hurt himself.	湯姆弄傷了自己。
Tom is a fat man.	湯姆是個胖子
Tom is a student.	湯姆是個學生。
Tom is an artist.	湯姆是藝術家。
Tom is deceitful.	汤姆是个骗子。
Tom is in danger.	湯姆有危險。
Tom is my friend.	湯姆是我的朋友。
Tom is very kind.	汤姆人很好。
Tom isn't a fool.	汤姆不是傻瓜。
Tom isn't a hero.	湯姆不是英雄。
Tom likes it hot.	汤姆喜欢热的。
Tom lost his job.	湯姆丟了工作。
Tom saw the file.	湯姆看了文件。
Tom studies hard.	汤姆努力学习。
Tom walks slowly.	汤姆走得很慢。
Tom will do that.	湯姆會做。
Tom would accept.	湯姆會接受。
Try it once more.	再試一次。
Turn off the gas.	把煤气关了！
Turn to the left.	向左转。
We accept checks.	我們接受支票。
We depend on you.	我们可全指望你了。
We depend on you.	我们可全靠你了。
We expect to win.	我们打算赢。
We have two ears.	我們有兩隻耳朵。
We help the poor.	我們幫助窮人。
We just moved in.	我們才剛搬進來。
We live together.	我們住在一起。
We lost the game.	我们比赛输了。
We may need some.	我們可能需要一些。
We need Tom back.	我們需要湯姆回來。
We never gave up.	我們從不放棄。
We'd better talk.	我们谈谈比较好。
We'll meet again.	后会有期。
We'll stay quiet.	我們會保持安靜。
We'll talk later.	我们过一会再谈。
We're all hungry.	我們都餓了。
We're classmates.	我们是同学。
We're having fun.	我们在高兴地玩。
We're in a hurry.	我們很匆忙。
We're in a hurry.	我們很急。
We're not stupid.	我們不傻。
Welcome to Japan.	歡迎到日本。
What a good idea!	多好的主意啊！
What did she say?	她说了什么？
What did she say?	她說了什麼?
What did you buy?	你買了什麼？
What do you have?	您有什么？
What do you know?	你知道什么？
What do you make?	你做什麼？
What do you want?	你想要什么？
What should I do?	我该做什么？
What woke you up?	什麼吵醒你了?
What's he hiding?	他在藏甚麼？
What's she doing?	她在做什麼？
What's your name?	你叫什么名字？
What's your name?	您叫什么名字？
What's your name?	叫什麼名字?
Where is my book?	我的書在哪？
Where is my seat?	我的位子在哪儿？
Where's the boss?	老闆在哪裡？
Where's your dog?	你的狗在哪里？
Who decided that?	誰決定了那件事？
Who found my bag?	誰找到了我的包？
Who wrote Hamlet?	哈姆雷特是誰寫的？
Whose turn is it?	輪到誰了？
Why are you here?	你為什麼在這？
Why did you quit?	你為什麼辭職？
Why is he hiding?	他为什么在躲藏？
Will you join us?	你會參加嗎？
Winter is coming.	冬季快來了。
You are blushing.	你脸红了。
You can't say no.	你无法说“不”。
You have to move.	你得行動了。
You need to know.	你有必要了解。
You shouldn't go.	你不應該去。
You're impatient.	你缺乏耐心。
You're in my way.	你擋住了我的路。
You're no singer.	你不是歌手。
Am I overreacting?	我反应过度了吗？
Are they students?	他們是學生嗎？
Are you all ready?	你們都準備好了嗎?
Are you happy now?	你现在高兴吗？
Be nice to others.	对他人要友善。
Beware of the dog!	小心狗！
Beware of thieves.	注意小偷。
Birds build nests.	鸟儿筑巢。
Call an ambulance.	叫救护车。
Can I have a bite?	我可以吃一口嗎？
Can I try this on?	我能试一下吗？
Can we trust them?	我们能信任他们吗？
Can you freeze it?	你能冷冻它吗？
Can you jump rope?	你能跳绳吗？
Champagne, please.	给我香槟，谢谢。
Choose one person.	從中選擇一人。
Christmas is soon.	聖誕節快到了。
Clean up the room.	收拾房间。
Come here quickly.	快來這裡。
Come on, hurry up.	来吧，快一点。
Come on, let's go.	来吧，我们一起去。
Come on, touch it.	来吧，摸一下。
Come on, trust me.	来吧，相信我。
Could you tell me?	您会告诉我吗？
Deal us the cards.	發牌給我們。
Did you borrow it?	你借它了吗？
Did you buy juice?	你有買果汁嗎？
Do I need surgery?	我需要做手术吗？
Do you believe me?	你相信我吗？
Do you drink beer?	你喝啤酒吗？
Do you feel lucky?	你觉得幸运吗？
Do you feel tired?	你覺得累嗎？
Do you have a car?	你有车吗？
Do you have a car?	您有车吗？
Do you have a map?	你有地圖嗎？
Do you like China?	你喜歡中國嗎？
Do you like juice?	你喜歡果汁嗎？
Do you like music?	你喜欢音乐吗？
Do you like music?	你爱音乐吗？
Do you love music?	你爱音乐吗？
Do you understand?	你明白了嗎?
Don't believe him.	不要相信他。
Don't let Tom die.	別讓湯姆死了。
Don't let him run.	別讓他跑。
Don't let me down.	别让我失望。
Don't pull my leg!	不要拉我的腿！
Don't shout at me.	別對著我吼。
Don't touch these.	不要碰這些。
Earth is a planet.	地球是一個行星。
Everybody is fine.	每个人都好。
Everybody laughed.	大家笑了。
Everyone knows me.	大家都認識我。
Everyone was fine.	大家都还行。
Feel free to stay.	歡迎留下來。
Get into your car.	进你的车里。
Give her the book.	把这本书给她。
God bless America.	上帝保佑美国。
God is everywhere.	神無處不在。
Has the bell rung?	钟响过了吗？
Haste makes waste.	欲速則不達。
He began to shout.	他開始喊叫。
He bought a Honda.	他賣了一台豐田的車。
He came in person.	他亲自来了。
He came to see me.	他來看我了。
He can't help you.	他不能幫你。
He could not swim.	他不能游泳。
He died yesterday.	他昨天去世了。
He doesn't listen.	他没听。
He has a few pens.	他有些鋼筆。
He has seven sons.	他有七个儿子。
He has three sons.	他有三个儿子。
He himself did it.	是他自己做的。
He is a screwball.	他是一個怪人。
He is an American.	他是美国人。
He is at her side.	他在她的旁邊。
He is but a child.	他不过是个孩子。
He is watching TV.	他在看电视。
He likes sleeping.	他喜欢睡觉。
He made me a suit.	他给我做了套衣服。
He struck a match.	他劃了一根火柴。
He studied abroad.	他出国留学了。
He threw the ball.	他把球扔了。
He told the truth.	他說了實話。
He turned the key.	他转动钥匙。
He will come back.	他会回来的。
He won everything.	他赢得一切了。
He wrote a letter.	他写了一封信。
He's a bit lively.	他有点活泼。
He's not here yet.	他還沒到這裡。
He's really angry.	他非常生气。
Here goes nothing.	毫無希望，白費心思。
Here is your book.	這是你的書。
Here's the change.	这是找零。
How are you doing?	你們好嗎？
How complex is it?	它有多複雜？
How should I know?	我怎麼知道？
How should I know?	我怎麼知道?
How was your test?	你的测验怎么样？
How was your trip?	你的旅行怎么样?
I agreed with her.	我同意她。
I am a vegetarian.	我是素食主义者。
I am fond of cars.	我喜歡車。
I am from Shikoku.	我來自四國。
I am in the house.	我在家裡。
I am on the right.	我在右邊。
I am studying now.	我现在正在学习。
I bathe every day.	我每天都洗澡。
I believe in love.	我相信爱情。
I bought that car.	我買了那輛車。
I can comfort her.	我可以安慰她。
I can do it alone.	我可以獨自做。
I can drive a car.	我会开车。
I can hardly walk.	我幾乎不能走路。
I can play Chopin.	我會彈蕭邦。
I can play soccer.	我會踢足球。
I can play tennis.	我會打網球。
I can't stand him.	我受不了他。
I come from China.	我是从中国来的。
I didn't feel bad.	我没觉得不好。
I don't accept it.	我不接受。
I don't blame you.	我不怪你。
I don't like eggs.	我不喜欢吃鸡蛋。
I don't like eggs.	我不喜欢鸡蛋。
I don't like kids.	我不喜欢小孩。
I don't like this.	我不喜欢。
I don't like wine.	我不喜欢红酒。
I don't regret it.	我不後悔。
I gave you a book.	我给了你一本书。
I got a bee sting.	我被蜜蜂蛰了一下。
I got my hair cut.	我把我的頭髮剪了。
I got up at seven.	我7点起床了。
I hate mosquitoes.	我恨蚊子。
I have a computer.	我有一台电脑。
I have a daughter.	我有一个女儿。
I have a headache.	我头痛。
I have a proposal.	我有個提案。
I have an opinion.	我有一個意見。
I have many discs.	我有许多唱片。
I haven't changed.	我没改变。
I haven't met her.	我没有遇见她。
I hope to see you.	我希望能见到你。
I like jazz music.	我喜歡爵士樂。
I like short hair.	我喜欢短发。
I like snow a lot.	我很喜歡雪。
I like your house.	我喜欢你的房子。
I like your shoes.	我喜欢你的鞋子。
I lost my luggage.	我的行李丢了。
I need many books.	我需要很多書。
I ripped my pants.	我扯掉了自己的裤子。
I sat by his side.	我坐在他旁边。
I saw him running.	我看見了他跑步。
I saw the sunrise.	我看了日出。
I should be happy.	我該高興。
I study at school.	我在学校读书。
I think I'll stay.	我認我會留下。
I think I'm right.	我想我是對的。
I took Highway 58.	我走58號高速公路。
I tried to escape.	我试图逃跑。
I usually eat out.	我通常在外面吃饭。
I want Tom to win.	我想让汤姆赢。
I want a lot more.	我要多很多。
I want to go home.	我要回家。
I was so homesick.	我很想家。
I went on reading.	我继续阅读。
I will do my best.	我會盡力而為。
I wish I could go.	我希望我可以去。
I woke up at 2:30.	我在2:30起床。
I won the lottery.	我中奖了。
I work for a bank.	我為一家銀行工作。
I work long hours.	我工作數小時。
I worry about him.	我擔心他。
I wrote it myself.	我自己写了它。
I wrote this book.	我写了这本书。
I'd like to dance.	我想要跳舞。
I'd wear a helmet.	我要戴頭盔。
I'll be back late.	我會晚一點回來。
I'll go by myself.	我會自己走。
I'll pay the bill.	我來付賬。
I'll tell my wife.	我會告訴我的妻子。
I'm a new student.	我是个新生。
I'm able to speak.	我能说。
I'm bad at sports.	我不擅長運動。
I'm being patient.	我很有耐心。
I'm going to lose.	我要输了。
I'm not a student.	我不是學生。
I'm not too smart.	我不太聰明。
I'm on Tom's side.	我站在湯姆一邊。
I'm still puzzled.	我還不明白。
I'm using Twitter.	我在用Twitter。
Is Tom a good guy?	汤姆是好人。
Is that pure gold?	那是純金嗎？
Is the bath clean?	浴室干净吗？
Is the party over?	聚會結束了嗎？
Is this your book?	這是你的書嗎？
It doesn't matter.	没关系。
It is not a watch.	這不是手錶。
It is windy today.	今天有风。
It was our secret.	它是我們的秘密。
It's a good start.	这是一个好的开端。
It's all my fault.	都是我的错。
It's already 7:00.	已经是早上七点了。
It's confidential.	这是机密。
It's hot out here.	这里够热。
It's human nature.	它是人的天性。
It's my brother's.	它是我兄弟的。
It's not my fault.	不是我的错。
It's not that far.	不是那么远。
It's on the house.	这是免费的。
It's our pleasure.	这是我们的荣幸。
It's pretty heavy.	它真重。
It's self-evident.	這是不證自明的。
It's time to talk.	到談話的時間了。
It's very special.	它很特別。
It's warm in here.	這裡是溫暖的。
Keep to the right.	靠右侧通行。
Let's get started.	讓我們開始吧。
Let's get started.	让我们开始吧。
Let's get to work.	干活吧。
Let's play soccer.	去踢足球吧。
Let's shake hands.	讓我們握手吧。
Let's take a look.	讓我們看看吧。
Let's take a rest.	我们休息一下吧。
Life is beautiful.	生活是美丽的。
Life is very hard.	人生良苦。
Long time, no see.	好久不見。
Long time, no see.	真是好久不见啊
Look into my eyes.	看著我的眼睛。
May I put it here?	我可以把它放在这儿吗？
My father is busy.	我爸爸很忙。
My laptop crashed.	我的笔记本电脑发生故障了。
My shoulder hurts.	我肩膀痛。
My stomach's full.	我的胃是脹滿的。
My stomach's full.	我吃得很飽。
No problem at all!	什么问题都没有！
No problem at all!	一点问题都没有！
No problem at all!	没有任何问题!
Pick up the phone.	接一下电话。
Please contact us.	请联系我们。
Please forgive me.	请原谅我。
Please reconsider.	请重新考虑一下。
Please wrap it up.	請包起來。
Pretend you're me.	假装你是我。
Put out the light.	熄灯。
Put your hands up!	把手举起来！
Say it in English.	用英语说。
Shame on you guys.	替你们脸红啊。
She began to sing.	她开始唱歌了。
She cursed loudly.	她大声诅咒。
She didn't go far.	她没有走远。
She has blue eyes.	她有蓝色的眼睛。
She likes oranges.	她喜歡柳橙。
She likes oranges.	她喜欢橙子。
She looks unhappy.	她看起來不快樂。
She went upstairs.	她上樓了。
She wept bitterly.	她痛哭。
She's in the bath.	她在浴室。
She's my daughter.	她是我女儿。
She's not a child.	她不是小孩。
Should I help you?	我该帮你吗？
Stop bothering me.	不要烦我。
Tell me the truth.	告訴我真相。
That house is big.	那棟房子很大。
That house is big.	那栋房子很大。
That is flammable.	那是可燃的。
That is your book.	那是你的書。
That was fabulous.	那真是极好的。
That wasn't funny.	那不好笑。
That's a pheasant.	那是一隻野雞。
That's impossible.	这不可能。
That's my problem.	這是我的問題。
That's so perfect.	那是完美的。
The bath is ready.	浴缸已經準備好了。
The cat is eating.	这只猫在吃东西。
The clock stopped.	鐘停了。
The dog went away.	這隻狗跑走了。
The doorbell rang.	门铃儿响了。
The market is big.	市場很大。
The meeting ended.	会议结束了。
The pain has gone.	疼痛消失了。
The system worked.	系统运行起来了。
The truck is gone.	貨車走了。
The worst is over.	最壞的已經過去了。
There is a strike.	有罢工。
There is no water.	沒有水。
They are at lunch.	他们在吃午饭。
They are very big.	他們非常大。
They can't see me.	他們看不見我。
They like to sing.	他们都喜欢唱歌。
They were worried.	他们担心。
They're in danger.	他們有危險。
This apple is bad.	这个苹果是坏的。
This book will do.	這本書就行了。
This could be fun.	這可能很好玩。
This desk is mine.	這張書桌是我的。
This is Tom's car.	這是胡安的車。
This is a miracle.	这是一个奇迹。
This is delicious.	很美味。
This is difficult.	这很难。
This is expensive.	這很貴。
This is gibberish.	這是胡說。
This is my mother.	这是我母亲。
This is so boring.	这太无聊了。
This is your book.	這是你的書。
This makes me sad.	這讓我難過。
Today is Thursday.	今天是礼拜四。
Tom became a hero.	汤姆成了英雄。
Tom began talking.	汤姆开始说话。
Tom couldn't swim.	汤姆不会游泳。
Tom died recently.	汤姆最近死了。
Tom gave me a pen.	湯姆給了我一枝筆。
Tom has blue eyes.	汤姆的眼睛是蓝色的。
Tom has many cats.	湯姆有很多貓。
Tom hates spiders.	汤姆恨蜘蛛。
Tom heard a shout.	汤姆听到了一声喊叫。
Tom heard nothing.	汤姆什么也没听见。
Tom helped us all.	湯姆幫了我們。
Tom is a magician.	汤姆是魔法师。
Tom is a true man.	汤姆是个真男人。
Tom is happy here.	湯姆在這裡很高興。
Tom is overweight.	汤姆超重了。
Tom is very quiet.	湯姆很安靜。
Tom isn't unhappy.	汤姆不是不高兴。
Tom likes to knit.	湯姆喜歡編織。
Tom lives near me.	湯姆住在我的附近。
Tom loves flowers.	湯姆熱愛花卉。
Tom loves to sing.	湯姆愛唱歌。
Tom made a choice.	汤姆做出了选择。
Tom robbed a bank.	湯姆搶了家銀行。
Tom sent me there.	湯姆送我去了那裡。
Tom shut his eyes.	汤姆闭上了眼睛。
Tom wants popcorn.	湯姆要爆米花。
Tom wants to talk.	汤姆想说话。
Tom was very sick.	汤姆很虚弱。
Tom wasn't in bed.	湯姆不在床上。
Tom works at home.	湯姆在家工作。
Try it once again.	再试一次。
Turn back, please.	请回来。
Turn on the radio.	打开收音机。
Two beers, please.	请来两杯啤酒。
Use it or lose it.	使用它或失去它。
Was that too much?	那太多了吗？
We don't think so.	我们不这样认为。
We had no secrets.	我們沒有秘密。
We hope Tom is OK.	我們希望湯姆沒事。
We may never know.	我们可能永远不知道。
We must intervene.	我们必须介入。
We need more food.	我們需要更多食物。
We need your help.	我們需要你的幫忙。
We started at six.	我們六點開始。
We were kids then.	我们那时是孩子。
We won the battle.	我们战争胜利了。
We're not looking.	我們沒有看著。
We're old friends.	我们是老朋友了。
What did you make?	你做了什么？
What do you think?	你認為如何?
What does it mean?	这是什么意思？
What is your name?	你叫什么名字？
What is your name?	您叫什么名字？
What's Tom saying?	湯姆在說甚麼？
What's for supper?	我们晚饭吃什么？
What's the matter?	怎么了？
What's your hobby?	你的爱好是什么？
When do you close?	你們公司幾點下班?
When was it built?	它是什麼什麼時候蓋的？
When was she born?	她是什么时候出生的？
Where are you now?	你现在在哪里呢？
Where is Room 105?	105号房间在哪里？
Where is my watch?	我的手錶在哪裡？
Where is the bank?	银行在哪里？
Where is the book?	那本书在哪儿？
Where is the pain?	哪裡痛？
Where is your dog?	你的狗在哪儿？
Where is your dog?	你的狗在哪里？
Which tooth hurts?	哪顆牙痛？
Who invented that?	那是谁发明的？
Whose car is this?	這輛汽車是誰的?
Whose car is this?	這台汽車是誰的?
Whose car is this?	這是誰的車？
Whose fault is it?	是誰的錯呢？
Whose idea was it?	这是谁的主意？
Why are you angry?	你为什么生气？
Why were you late?	你为什么迟到？
Why would she lie?	她為甚麼要說謊？
Will you marry me?	你愿意嫁给我吗？
Will you use this?	你要用這個嗎？
Yes. That's right.	是的。沒錯。
You are a student.	你是學生。
You are a student.	您是學生。
You are in my way.	你擋住了我的路。
You are so stupid.	你真傻。
You got here fast.	你來得很快。
You have no fever.	你没发烧。
You have to leave.	你們得走了。
You have to leave.	你得走了。
You know too much.	你知道得太多了。
You made me laugh.	我被你逗乐了。
You make me happy.	你讓我快樂。
You may take this.	您可以拿着这个.
You need to leave.	你必須離開。
You talk too much.	你說太多了。
You won't need it.	你不會需要它。
You work too hard.	你工作太努力了。
You're very alert.	你真是警惕。
You're very smart.	你很聪明。
You've done a lot.	你做了很多。
Anyone can do that.	任何人都可以做到。
Are you busy today?	你今天忙吗？
Are your eyes open?	你睜著眼嗎？
Be careful with it.	当心它。
Breakfast is ready.	早饭准备好了。
Can I see that one?	我能看那個嗎？
Can I see this one?	我能看看這個嗎？
Can I use your pen?	我可以用你的筆嗎？
Can we go back now?	我們現在能回去嗎？
Can you forgive me?	可以原谅我吗？
Come along with me.	请跟我来。
Come along with us.	跟我們一起來吧。
Come in, it's open.	进来，门开着。
Come on, try again.	来，再试试看。
Did you bring them?	你把它们带来了么？
Did you check this?	你检查这个了吗？
Do you like apples?	你喜欢苹果吗？
Do you like school?	你們喜歡學校嗎？
Do you like school?	您喜歡學校嗎?
Do you play soccer?	你踢足球嗎?
Do your gums bleed?	你的牙齦流血嗎？
Does it hurt a lot?	很痛嗎?
Don't be terrified.	別被嚇壞了。
Don't miss the bus.	不要错过公车。
Don't quit English.	不要放棄英語。
Don't talk rubbish.	别胡说。
Don't you think so?	你不这么认为吗？
Everybody did that.	每个人都做了那事。
Everybody is alive.	所有人都是活着的。
Everybody will die.	人固有一死。
Everyone likes Tom.	大家都喜歡湯姆。
Everyone was drunk.	所有人都喝醉了。
Everyone was happy.	每個人都高興。
Everything matters.	任何事情都是重要。
Facebook is boring.	Facebook很無聊。
For here, or to go?	內用還是外帶?
Give me the number.	把那个号码给我。
Give me the report.	给我报告。
Give me your phone.	给我你的手机。
Go get your helmet.	戴上你的安全帽。
Have you all eaten?	你們吃飯了嗎？
He arrived in time.	他及時趕到。
He asked after you.	他問候了你。
He called me a cab.	他替我叫了一部計程車。
He can drive a car.	他會開車。
He does speak well.	他真的說得很好。
He found me a taxi.	他帮我打到一辆出租车。
He gave him a book.	他給了他一本書。
He got off the bus.	他下了公車。
He hasn't come yet.	他還沒來。
He insured himself.	他給自己投了保險。
He is a bad driver.	他是個糟糕的司機。
He is on the radio.	他上电台了。
He is so heartless.	他是这么的无情。
He killed that man.	他殺死了那個人。
He lied to my face.	他在我面前撒谎.
He loves traveling.	他愛旅行。
He never said that.	他從來沒說過那個。
He plays very well.	他玩得很好。
He plays very well.	他弹得很好。
He raised his hand.	他舉起他的手。
He returned at six.	他六点回来了。
He seems to be ill.	他好像病了。
He set a precedent.	他開了先河。
He speaks too fast.	他说话太快了。
He still loves her.	他仍然爱着她。
He stole her watch.	他偷了她的手表。
He took a week off.	他休了一周的假。
He wants affection.	他要愛。
He was alone there.	他獨自在那裡。
He went by bicycle.	他骑自行车去的。
He went by bicycle.	他騎腳踏車去。
He'll wait for you.	他會等你。
He's a good person.	他是个好人。
He's a good person.	他是個好人。
He's a little pale.	他有点苍白。
He's a meth addict.	他是个吸毒男。
He's already a man.	他已经是个男人了。
He's coming closer.	他在靠近。
He's in a bad mood.	他心情不好。
He's my new friend.	他是我新交的朋友。
Her hair grew back.	她的頭髮長回來了。
Her skin is smooth.	她的皮膚光滑。
Her socks are gray.	她的襪子是灰色的。
Here is my baggage.	这是我的行李。
How did he find us?	他怎麼找到我們的？
How does this work?	這是怎麼運行的？
How is the weather?	天氣怎樣？
How're you feeling?	你感觉如何？
I accept the offer.	我接受了报价。
I agree completely.	我完全同意。
I almost never lie.	我幾乎從不說謊。
I am a new student.	我是个新生。
I am an only child.	我是獨生子。
I am from Shizuoka.	我來自靜岡。
I am not a student.	我不是學生。
I am not a teacher.	我不是個老師。
I am six feet tall.	我六英尺高。
I bathe once a day.	我每天洗一次澡。
I burned the paper.	我燒了紙。
I can eat anything.	我甚麼都能吃。
I can wait for you.	我可以等你。
I can't believe it!	我没法相信！
I can't drink milk.	我不可以喝牛奶。
I can't drink milk.	我不能喝牛奶。
I clapped my hands.	我拍手。
I didn't mean that.	我沒有那個意思。
I didn't want this.	我不想要這個。
I don't have a car.	我沒有汽車。
I don't have a cat.	我没有猫。
I don't like sushi.	我不喜欢寿司。
I don't smoke weed.	我不吸大麻。
I don't understand.	我不懂。
I don't understand.	不明白。
I dreamt about you.	我梦到你了。
I drive everywhere.	我去哪里都开车。
I expect your help.	我期待你的幫助。
I feel comfortable.	我感觉很舒服。
I feel like a rest.	我想休息一下。
I feel like crying.	我想哭。
I felt comfortable.	我感觉很舒服。
I felt like crying.	我想哭。
I gave Mary a book.	我給了瑪麗一本書。
I give you my word.	我向你保证。
I had a lot of fun.	我玩得很開心。
I had him write it.	我要他寫。
I have to call Tom.	我得给汤姆打电话。
I have to paint it.	我必須把它漆上油漆。
I have to say this.	我得说这事。
I heard him go out.	我聽到他出去了。
I hope we find Tom.	我希望我们能找到汤姆。
I know her address.	我知道她的地址。
I know the feeling.	我知道那種感覺。
I know the problem.	我知道问题。
I know those girls.	我認識那些女孩。
I know those women.	我認識那些女人。
I know what he did.	我知道他做了。
I know what to say.	我知道要说什么。
I like L.A. better.	我更喜欢洛杉矶。
I like candlelight.	我很喜欢烛光。
I like mathematics.	我喜欢数学。
I like mathematics.	我喜歡數學。
I like that person.	我喜欢那个人。
I looked around me.	我看了看周圍。
I lost my umbrella.	我丢了我的伞。
I love apple juice.	我愛蘋果汁。
I made other plans.	我另有计划。
I met an old woman.	我遇见了一位老妇人。
I miss her so much.	我那么想念她。
I miss my children.	我想念我的孩子。
I miss you so much.	我如此想念你。
I miss you so much.	好想見到你
I need your advice.	我需要你的意见。
I plan to go there.	我打算去那裡。
I saw him run away.	我看見他逃跑了。
I slapped his face.	我摑了他的臉。
I slept on the bus.	我在公交车上睡觉了。
I swim once a week.	我每周游一次泳。
I think he'll come.	我想他会来的吧。
I think he's happy.	我想他很快樂。
I walked to school.	我走路到學校。
I want this camera.	我要這台相機。
I want to go there.	我想去那裡。
I wanted red shoes.	我要紅色的鞋子。
I was at home then.	那个时候，我在家。
I was born in 1988.	我生于1988年。
I was expecting it!	我一直在期待着！
I was nervous, too.	我也紧张。
I was very relaxed.	我很放鬆。
I will go on ahead.	我會繼續前進。
I wish I had a car.	但願我有一輛車。
I wish I were rich.	但願我很有錢。
I'd like your help.	我想請你們幫個忙。
I'll be seeing you.	我會見到你。
I'll call Tom back.	我会叫汤姆回来。
I'll get some help.	我会需要帮助。
I'll keep doing it.	我要一直做下去。
I'll see you later.	等會兒見。
I'll think it over.	我會考慮一下。
I'm a little tired.	我有點累。
I'm afraid of dogs.	我怕狗。
I'm as tall as you.	我跟你一樣高。
I'm from Singapore.	我是从新加坡来的。
I'm glad it's over.	我很高興它結束了。
I'm going to check.	我正要去签到。
I'm good at skiing.	我擅長滑雪。
I'm good at soccer.	我擅長足球。
I'm good at tennis.	我擅長網球。
I'm losing my grip.	我失去了控制。
I'm making a movie.	我在製作電影。
I'm not interested.	我不感兴趣。
I'm not quite well.	我有點不舒服。
I'm ready to leave.	我准备好出发了。
I'm really worried.	我很着急。
I'm too busy to go.	我太忙了不能去。
I've gained weight.	我增加了體重。
I've got to go now.	我現在得走了。
I've gotten better.	我已經變得好多了。
I've never met him.	我從來沒有見過他。
Ignorance is bliss.	無知就是幸福。
Is everybody ready?	所有人都准备好了吗？
Is it large enough?	這麼大的夠用嗎？
Is she your mother?	她是你媽媽嗎?
Is something wrong?	有什么不对吗？
Is this everything?	这就是全部吗？
It came to nothing.	这没有结果。
It is easy to swim.	游泳很簡單。
It is really cheap.	它真的很便宜。
It just gets worse.	它变糟了。
It wasn't my fault.	那不是我的錯。
It's about to rain.	天快要下雨了。
It's going to rain.	天快要下雨了。
It's gotten better.	它會好轉的。
It's not important.	這個不重要。
It's not important.	这不重要。
It's not practical.	这不实用。
It's snowing today.	今天下雪。
Just let Tom speak.	就讓湯姆說吧。
Keep off the grass.	不要踩草地。
Knowledge is power.	知识就是力量。
Leave my car alone.	離我的車遠一點。
Leave my car alone.	不要碰我的車。
Let me handle this.	讓我來處理。
Let me have a look.	讓我看看。
Let's be realistic.	現實點吧。
Let's get off here.	我们在这里下车吧。
Let's not watch TV.	我們不要看電視吧。
Let's take it easy.	讓我們放輕鬆吧。
Look at my new car.	看看我的新車。
Look at that house.	看那个房子。
Look at that smoke.	快看那個煙。
Look what happened.	看看發生了什麼。
Love doesn't exist.	愛不存在。
Mary has nice legs.	玛丽的腿很漂亮。
Mary has nice legs.	玛丽有一双美腿。
May I pay by check?	我可以用支票付吗？
May I run with you?	我可以跟你一起跑嗎？
May I take a photo?	请问可以给您拍张照片吗？
My father grew old.	我父亲变老了。
My hand was burned.	我的手烧伤了。
My legs still hurt.	我的腿还是很痛。
My room faces east.	我的房間面向東邊。
No one can help me.	没有人能帮我。
No one will see us.	沒有人會看到我們。
Nobody can help me.	没有人能帮我。
Nobody can stop me!	没人能阻止我！
Nobody was injured.	沒有人受傷。
Nothing is missing.	什么也没少。
Now it is official.	现在它是官方的。
Now, wait a second.	現在等一下。
Obey your teachers.	要听老师的话。
Oh! That's too bad.	哦！那太糟糕了。
Please get dressed.	请穿衣服。
Please let us know.	請讓我們知道。
Please sing a song.	請唱一首歌。
Put the book there.	把書放在那裡。
Put your guns down.	放下你的枪。
Saturn is a planet.	土星是一顆行星。
She cried bitterly.	她痛哭了起來。
She is very clever.	她很聰明。
She is very pretty.	她很可爱。
She loves children.	她愛孩子。
She made me a cake.	她为我做了一个蛋糕。
She needs our help.	她需要我們的幫忙。
She put on her hat.	她戴上了她的帽子。
She speaks Chinese.	她讲中文。
She was in a hurry.	她在趕時間。
She won everything.	她贏得一切了。
She's Tom's sister.	她是Tom的姐妹。
She's my classmate.	她是我的同學。
She's only a child.	她只是個孩子。
Show me an example.	给我个例子。
Somebody is eating.	有人在吃东西。
Stay off the grass.	不要走在草地上。
Stop joking around.	不要隨便開玩笑。
Stop joking around.	別開玩笑了。
Tell me what to do.	告訴我該做什麼。
That is intriguing.	那真有趣。
That is our school.	那是我们的学校。
That was years ago.	那是好幾年前。
That's a good idea!	真是个好主意！
That's a good idea.	那是一個好主意。
That's a good plan.	那是一個很好的計劃。
That's a nice coat.	那是一件不錯的大衣。
That's no big deal.	那没什么大不了的。
That's really nice.	真好。
That's what I like.	我就喜欢它。
That's what I want.	那就是我想要的。
The area was quiet.	這地區很安靜。
The boy eats bread.	這個男孩吃麵包。
The car broke down.	汽车发生故障了。
The coffee is cold.	咖啡是冷的。
The crow flew away.	這隻烏鴉飛走了。
The danger is over.	危險已過去。
The glass is dirty.	玻璃髒了。
The lock is broken.	锁坏了。
The plane is ready.	飞机准备好了。
The problem is Tom.	問題是湯姆。
The tire leaks air.	轮胎漏气了。
There goes our bus.	我们的车走了。
There's no mistake.	没有错误。
These dogs are big.	這些狗很大。
These must be fake.	這些一定是假的。
They all have come.	他们全都来了。
They didn't listen.	他们没听。
They didn't see us.	他们没看见我们。
They don't like me.	他們不喜歡我。
